Title,Check & Update,Does Order Exist?,Does Shipping Record Exist?,Does Invoice Record Exist?,invoice sent to buyer?,Purchase Order num.,Line,Shipment Number (Buyer Ref.),Delivery Value,Currency,Arrival Date at Port,Incoterms,Item Description,Container Number,Bill of Lading (TrackingID),Container Type,Unit's code (Buyers Ref.),Quantity in Container (Cartons),Quantity in Container (Units / 🚢),Supplier's number,Country of supplier,Warehouse of destination,Food's Broker number,Port of Origin,Food's Broker fee per line,Custom/ Taarif's code,Shipping Company,Food's Broker name,Supplier's name,Forwarder's name,Forwarder's Case Number/ ID,Units per Carton,SeaPort of destination,Unit's weight (Gross),Net order value,Buyer's name (Contact),Buyer's name (Category manager)
"115119, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115119,10,29066,,EUR,15/5/2024,EXW,tomatoes gnocchi 500gr,ZIMU3148710,ZIMUN-AP110693,Y020,7296073291930,325.000,3900,110976,IT,6030,204776,NAPLES,,190230003,ZIM,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,ORIAN,81113749,12,HAIFA_BAY,0.5,,,
"115119, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115119,20,29066,,EUR,15/5/2024,EXW,spinach gnocchi 500gr,ZIMU3148710,ZIMUN-AP110693,Y020,7296073291947,256.000,3072,110976,IT,6030,204776,NAPLES,,190230003,ZIM,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,ORIAN,81113749,12,HAIFA_BAY,0.5,,,
"115119, 30",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115119,30,29066,,EUR,15/5/2024,EXW,potato gnocchi 500gr,ZIMU3148710,ZIMUN-AP110693,Y020,7296073291916,"1,203.000",14436,110976,IT,6030,204776,NAPLES,,190230003,ZIM,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,ORIAN,81113749,12,HAIFA_BAY,0.5,,,
"115119, 40",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115119,40,29066,,EUR,15/5/2024,EXW,mini potato gnocchi 500gr,ZIMU3148710,ZIMUN-AP110693,Y020,7296073291923,825.000,9900,110976,IT,6030,204776,NAPLES,,190230003,ZIM,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,ORIAN,81113749,12,HAIFA_BAY,0.5,,,
"115132, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115132,20,29108,,EUR,6/4/2024,FOB,REGUIAR GREEN BEANS BH3(800G),OTPU6528927,BORUWKA109ANHF03,Y40H,7296073173212,"2,100.000",25200,110621,BE,6033,204776,ANTWERPEN,,071022008,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,,,12,,0.8,,,
"115202, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115202,10,29108,,EUR,6/4/2024,FOB,CUT GREEN BEANS BG4(800G),OTPU6523993,BORUWKA109ANHF03,Y40H,7296073173229,"2,310.000",27720,110621,BE,6033,204776,ANTWERPEN,,071022008,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,,,12,,0.8,,,
"115271, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115271,10,29141,,EUR,31/5/2024,EXW,Gluten free spaghetti,ZCSU7333615,ZIMUGO-A1069782,Y40H,7296073630890,"1,029.000",12348,111592,IT,6030,204776,GENOA,,,ZIM,"פודז .אקס בע""מ",pastificio mennucci s.p.a,,,12,,0.4,,,
"115271, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115271,20,29141,,EUR,31/5/2024,EXW,Gluten free fusilli,ZCSU7333615,ZIMUGO-A1069782,Y40H,7296073630906,"1,141.000",13692,111592,IT,6030,204776,GENOA,,,ZIM,"פודז .אקס בע""מ",pastificio mennucci s.p.a,,,12,,0.4,,,
"115202, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115202,20,29145,,EUR,18/6/2024,FOB,EXTRA FINE GARDEN PEAS EK1(600G),CAAU4003922,BORUWAM163ANHF09,Y40R,7296073173199,"2,340.000",35100,110621,BE,6033,204776,ANTWERPEN,,071021000,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,,,15,,0.6,,,
"115239, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115239,10,29152,,EUR,6/11/2024,FOB,PRESERVED LEMON JUICE 200 ML.,MCLU5089395,BORUWRA953GEHF05,Y40H,7296073130499,"1,530.000",22950,110157,IT,6030,204776,GENOA,,2009311000,LUCY BORCHARD,"פודז .אקס בע""מ",POLENGHI LAS SRL,,,15,,0.2,,,
