Title,Check & Update,Does Order Exist?,Does Shipping Record Exist?,Does Invoice Record Exist?,invoice sent to buyer?,Purchase Order num.,Line,Shipment Number (Buyer Ref.),Delivery Value,Currency,Arrival Date at Port,Incoterms,Item Description,Container Number,Bill of Lading (TrackingID),Container Type,Unit's code (Buyers Ref.),Quantity in Container (Cartons),Quantity in Container (Units / 🚢),Supplier's number,Country of supplier,Warehouse of destination,Food's Broker number,Port of Origin,Food's Broker fee per line,Custom/ Taarif's code,Shipping Company,Food's Broker name,Supplier's name,Forwarder's name,Forwarder's Case Number/ ID,Units per Carton,SeaPort of destination,Unit's weight (Gross),Net order value,Buyer's name (Contact),Buyer's name (Category manager)
"114744, 40",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,114744,40,29348,76275,USD,28/9/2024,FOB,organic chestnuts,MSNU7240364,00012920,Y40H,7296073254256,"2,700.000",135000,110542,NL,,204776,XINGANG,,,,"פודז .אקס בע""מ",Maas-Intersales,,82381109,50,ASHDOD STH,,,,
"115290, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115290,20,29358,,EUR,8/6/2024,FOB,REGUIAR GREEN BEANS BH3(800G),SEGU9504383,BORUWNM095ANHF05,Y40H,7296073173212,"2,100.000",25200,110621,BE,6033,204776,ANTWERPEN,,071022008,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,12,HAIFA,0.8,,,
"115297, 30",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115297,30,29375,,EUR,8/7/2024,FOB,TOMATO PASTA SAUCE WITH BASILICO 350 GR,MCLU3053990,BORUWRU4-55GEHF0,Y020,7296073180432,"1,544.000",18528,110731,IT,6030,204776,SALERNO,,210320008,LUCY BORCHARD,"פודז .אקס בע""מ",LA DORIA S.p.A,ORIAN,,12,HAIFA,0.35,,,
"115297, 40",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115297,40,29375,,EUR,8/7/2024,FOB,TOMATO PASTA SAUCE GARLIC 350 GR.,MCLU3053990,BORUWRU4-55GEHF0,Y020,7296073180425,"1,727.000",20724,110731,IT,6030,204776,SALERNO,,210320008,LUCY BORCHARD,"פודז .אקס בע""מ",LA DORIA S.p.A,ORIAN,,12,HAIFA,0.35,,,
"115300, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115300,10,29390,,EUR,8/9/2024,EXW,glutten free gnocchi,CXDU2378650,ZIMUN-AP111344,Y020,7296073205111,"2,158.000",25896,110976,IT,6030,204776,NAPLES,,190230003,ZIM,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,ORIAN,,12,HAIFA_BAY,0.5,,,
"115300, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115300,20,29390,,EUR,8/9/2024,EXW,gnocchi tri-color gluten free,CXDU2378650,ZIMUN-AP111344,Y020,7296073298588,280.000,3360,110976,IT,6030,204776,NAPLES,,190230003,ZIM,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,ORIAN,,12,HAIFA_BAY,0.5,,,
"115166, 20",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115166,20,29393,33648.16,EUR,31/8/2024,FOB,wafers no added sugar 21.5g*3,GMOU9026240,RTMRE0-00001117,Y40R,7296073277941,,,111692,NL,6032,204776,,786.24,190532002,ZIM,"פודז .אקס בע""מ",Helwa Wafelbakkerij BV,ORIAN,,,HAIFA_BAY,,,,
"115166, 30",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115166,30,29393,31363.2,EUR,31/8/2024,FOB,No added sugar Chocolate wafers 150gram,GMOU9026240,RTMRE0-00001117,Y40R,7296073626480,,,111692,NL,6032,204776,,807.84,,ZIM,"פודז .אקס בע""מ",Helwa Wafelbakkerij BV,ORIAN,,,HAIFA_BAY,,,,
"115337, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115337,10,29430,29399.76,EUR,9/8/2024,FOB,EXTRA FINE GARDEN PEAS EK1(600G),CAAU4028495,BORUWSB429ANHF08,Y40H,7296073173199,,,110621,BE,6033,204776,,881.98,071021000,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,,HAIFA,,,,
"115337, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115337,20,29430,24579.45,EUR,9/8/2024,FOB,EXTRA FINE GREEN BEANS BH1(600G),CXRU1316581,BORUWSB429ANHF08,Y40H,7296073173205,,,110621,BE,6033,204776,,749.09,071022008,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,,HAIFA,,,,
"115337, 40",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115337,40,29430,23226.88,EUR,9/8/2024,FOB,CUT GREEN BEANS BG4(800G),OTPU6524460,BORUWSB429ANHF08,Y40H,7296073173229,,,110621,BE,6033,204776,,724.90,071022008,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,,HAIFA,,,,
"115337, 50",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115337,50,29430,12004.2,EUR,9/8/2024,FOB,MIX PEAS AND CARROT,OTPU6457037,BORUWSB429ANHF08,Y40H,7296073224907,,,110621,BE,6033,204776,,360.13,071021000,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,,HAIFA,,,,
"115337, 60",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115337,60,29430,12415.68,EUR,9/8/2024,FOB,GREEN PEAS,OTPU6457037,BORUWSB429ANHF08,Y40H,7296073224891,,,110621,BE,6033,204776,,372.47,0710210000,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,,HAIFA,,,,
"115338, 10",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115338,10,29430,22762.08,EUR,9/8/2024,FOB,GREEN PEAS,CXRU1282732,BORUWSB429ANHF08,Y40H,7296073224891,,,110621,BE,6033,204776,,713.90,0710210000,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,,HAIFA,,,,
"115368, 10",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115368,10,29430,23796.72,EUR,9/8/2024,FOB,GREEN PEAS,OTPU6456581,BORUWSB429ANHF08,Y40H,7296073224891,,,110621,BE,6033,204776,,713.90,0710210000,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,,HAIFA,,,,
"115252, 10",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115252,10,29437,28322.26,EUR,20/9/2024,EXW,glutten free gnocchi,ZIMU3142862,ZIMUN-AP111543,Y020,7296073205111,,,110976,IT,6030,204776,,995.18,190230003,ZIM,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,ORIAN,,,HAIFA_BAY,,,,
"115252, 20",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115252,20,29437,4976.4,EUR,20/9/2024,EXW,gnocchi tri-color gluten free,ZIMU3142862,ZIMUN-AP111543,Y020,7296073298588,,,110976,IT,6030,204776,,174.17,190230003,ZIM,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,ORIAN,,,HAIFA_BAY,,,,
"115302, 30",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115302,30,29439,21948.24,EUR,10/1/2024,FOB,CUT GREEN BEANS BG4(800G),CXRU1316215,BORUWAM169ANHF05,Y40R,7296073173229,"2,180.000",26160,110621,BE,,204776,ANTWERPEN,,,,"פודז .אקס בע""מ",ARDO NV\SA,,81116564,12,HAIFA,,,,
"115216, 10",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115216,10,29444,5815.64,EUR,9/7/2024,EXW,Gluten free fusilli,TCNU5327352,ZIMUGO-A1073153,Y40H,7296073630906,,,111592,IT,6030,204776,,168.74,,ZIM,"פודז .אקס בע""מ",pastificio mennucci s.p.a,ORIAN,,,HAIFA_BAY,,,,
"115216, 20",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115216,20,29444,12019.1,EUR,9/7/2024,EXW,penne gluten free 400 gr,TCNU5327352,ZIMUGO-A1073153,Y40H,7296073630913,,,111592,IT,6030,204776,,337.48,,ZIM,"פודז .אקס בע""מ",pastificio mennucci s.p.a,ORIAN,,,HAIFA_BAY,,,,
"115337, 70",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115337,70,29445,24930.59,EUR,17/9/2024,FOB,EXTRA FINE GREEN BEANS BH1(600G),OTPU6456637,BORUWNM097ANHF08,Y40H,7296073173205,,,110621,BE,6033,204776,,749.09,071022008,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,,HAIFA,,,,
"115297, 90",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115297,90,29451,7753.92,EUR,9/7/2024,FOB,TOMATO PASTA SAUCE BASE FOR BOLOGNSE 350,TCKU3967269,ZIMUGO-A1073513,Y020,7296073180449,,,110731,IT,6030,204776,,271.39,210320008,ZIM,"פודז .אקס בע""מ",LA DORIA S.p.A,ORIAN,,,HAIFA_BAY,,,,
"115297, 100",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115297,100,29451,5254.56,EUR,9/7/2024,FOB,Neapolitan sauce 350 gr,TCKU3967269,ZIMUGO-A1073513,Y020,7296073529934,,,110731,IT,6030,204776,,183.91,2103200000,ZIM,"פודז .אקס בע""מ",LA DORIA S.p.A,ORIAN,,,HAIFA_BAY,,,,
"115297, 110",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115297,110,29451,10233.6,EUR,9/7/2024,FOB,TOMATO PASTA SAUCE WITH BASILICO 350 GR,TCKU3967269,ZIMUGO-A1073513,Y020,7296073180432,,,110731,IT,6030,204776,,358.18,210320008,ZIM,"פודז .אקס בע""מ",LA DORIA S.p.A,ORIAN,,,HAIFA_BAY,,,,
"115297, 120",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115297,120,29451,7753.92,EUR,9/7/2024,FOB,TOMATO PASTA SAUCE GARLIC 350 GR.,TCKU3967269,ZIMUGO-A1073513,Y020,7296073180425,,,110731,IT,6030,204776,,271.39,210320008,ZIM,"פודז .אקס בע""מ",LA DORIA S.p.A,ORIAN,,,HAIFA_BAY,,,,
"115337, 30",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115337,30,29455,22554,EUR,22/10/2024,FOB,REGUIAR GREEN BEANS BH3(800G),CXRU1318368,BORUWNM099ANHF05,Y40R,7296073173212,"2,100.000",25200,110621,BE,,204776,ANTWERPEN,,,,"פודז .אקס בע""מ",ARDO NV\SA,,81117018,12,HAIFA,,,,
"115337, 80",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115337,80,29455,22554,EUR,22/10/2024,FOB,REGUIAR GREEN BEANS BH3(800G),CXRU1245277,BORUWNM099ANHF05,Y40R,7296073173212,"2,100.000",25200,110621,BE,,204776,ANTWERPEN,,,,"פודז .אקס בע""מ",ARDO NV\SA,,81117018,12,HAIFA,,,,
"115302, 10",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115302,10,29481,20353.68,EUR,10/1/2024,FOB,EXTRA FINE GARDEN PEAS EK1(600G),SEGU9225054,BORUWAM169ANHF03,Y40R,7296073173199,"1,620.000",24300,110621,BE,,204776,ANTWERPEN,,,,"פודז .אקס בע""מ",ARDO NV\SA,,81116575,15,HAIFA,,,,
"115297, 130",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115297,130,29491,9072.48,EUR,10/2/2024,FOB,TOMATO PASTA SAUCE BASE FOR BOLOGNSE 350,FCIU4107403,ZIMUGOA1074439,Y020,7296073180449,922.000,11064,110731,IT,,204776,SALERNO,,,,"פודז .אקס בע""מ",LA DORIA S.p.A,,81116736,12,HAIFA_BAY,,,,
"115297, 140",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115297,140,29491,4014.72,EUR,10/2/2024,FOB,Neapolitan sauce 350 gr,FCIU4107403,ZIMUGOA1074439,Y020,7296073529934,408.000,4896,110731,IT,,204776,SALERNO,,,,"פודז .אקס בע""מ",LA DORIA S.p.A,,81116736,12,HAIFA_BAY,,,,
"115297, 150",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115297,150,29491,3886.8,EUR,10/2/2024,FOB,TOMATO PASTA SAUCE WITH BASILICO 350 GR,FCIU4107403,ZIMUGOA1074439,Y020,7296073180432,395.000,4740,110731,IT,,204776,SALERNO,,,,"פודז .אקס בע""מ",LA DORIA S.p.A,,81116736,12,HAIFA_BAY,,,,
"115297, 160",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115297,160,29491,14022,EUR,10/2/2024,FOB,TOMATO PASTA SAUCE GARLIC 350 GR.,FCIU4107403,ZIMUGOA1074439,Y020,7296073180425,"1,425.000",17100,110731,IT,,204776,SALERNO,,,,"פודז .אקס בע""מ",LA DORIA S.p.A,,81116736,12,HAIFA_BAY,,,,
"115215, 10",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115215,10,29501,21074.9,EUR,21/10/2024,FOB,double cookey gluten free,TGBU2532878,ZIMUHAM-81068957,Y020,7296073243342,"2,530.000",17710,111401,DE,,204776,HAMBURG,,,,"פודז .אקס בע""מ",Coppenrath Feingeback Gmbh,,81116867,7,HAIFA_BAY,,,,
"115397, 10",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115397,10,29509,31536.48,EUR,11/8/2024,EXW,glutten free gnocchi,TCKU1084373,ZIMUN-AP111754,,7296073205111,"2,551.000",30612,110976,IT,6030,204776,NAPLES,,,ZIM,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,ORIAN,,12,HAIFA_BAY,,,,
"115302, 20",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115302,20,29522,20298.6,EUR,19/11/2024,FOB,REGUIAR GREEN BEANS BH3(800G),OTPU6528383,BORUWEF001ANHF15,,7296073173212,"1,890.000",22680,110621,BE,6033,204776,ANTWERPEN,,,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,12,ASHDOD,,,,
"115430, 10",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115430,10,29540,7229.25,EUR,11/4/2024,FOB,PRESERVED LEMON JUICE 200 ML.,MCLU5093538,BORUWLT007GEHF01,,7296073130499,"1,530.000",22950,110157,IT,6030,204776,GENOA,,,LUCY BORCHARD,"פודז .אקס בע""מ",POLENGHI LAS SRL,ORIAN,,15,HAIFA,,,,
"115430, 20",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115430,20,29540,6255,EUR,11/4/2024,FOB,PRESERVED LEMON JUICE 500 ML.,MCLU5093538,BORUWLT007GEHF01,,7296073132400,"1,500.000",9000,110157,IT,6030,204776,GENOA,,,LUCY BORCHARD,"פודז .אקס בע""מ",POLENGHI LAS SRL,ORIAN,,6,HAIFA,,,,
"115430, 30",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115430,30,29540,7050.24,EUR,11/4/2024,FOB,Natural Lemon Juice 250ml.,MCLU5093538,BORUWLT007GEHF01,,7296073404903,"1,152.000",13824,110157,IT,6030,204776,GENOA,,,LUCY BORCHARD,"פודז .אקס בע""מ",POLENGHI LAS SRL,ORIAN,,12,HAIFA,,,,
"115448, 40",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115448,40,29542,23796.72,EUR,19/11/2024,FOB,GREEN PEAS,OTPU6525553,BORUWSB433ANHF07,,7296073224891,"2,070.000",24840,110621,BE,6033,204776,ANTWERPEN,,,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,12,HAIFA,,,,
"115448, 10",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115448,10,29561,29399.76,EUR,26/11/2024,FOB,EXTRA FINE GARDEN PEAS EK1(600G),TEMU9252328,BORUWNM101ANHF09,,7296073173199,"2,340.000",35100,110621,BE,6033,204776,ANTWERPEN,,,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,15,HAIFA,,,,
"115448, 30",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115448,30,29561,27138.24,EUR,26/11/2024,FOB,EXTRA FINE GARDEN PEAS EK1(600G),SEKU9309123,BORUWNM101ANHF09,,7296073173199,"2,160.000",32400,110621,BE,6033,204776,ANTWERPEN,,,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,15,HAIFA,,,,
"115457, 30",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115457,30,29564,7947.6,EUR,19/11/2024,FOB,REGUIAR GREEN BEANS BH3(800G),OTPU6528716,BORUWSB433ANHF10,,7296073173212,740.000,8880,110621,BE,6033,204776,ANTWERPEN,,,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,12,HAIFA,,,,
"115457, 40",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115457,40,29564,3221.76,EUR,19/11/2024,FOB,CUT GREEN BEANS BG4(800G),OTPU6528716,BORUWSB433ANHF10,,7296073173229,320.000,3840,110621,BE,6033,204776,ANTWERPEN,,,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,12,HAIFA,,,,
"115457, 50",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115457,50,29564,11381.04,EUR,19/11/2024,FOB,GREEN PEAS,OTPU6528716,BORUWSB433ANHF10,,7296073224891,990.000,11880,110621,BE,6033,204776,ANTWERPEN,,,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,12,HAIFA,,,,
"115457, 20",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115457,20,29566,24566.45,EUR,19/11/2024,FOB,EXTRA FINE GREEN BEANS BH1(600G),SEKU9097127,BORUWEF001ANHF15,,7296073173205,"1,889.000",28335,110621,BE,6033,204776,ANTWERPEN,,,LUCY BORCHARD,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,15,ASHDOD,,,,
"112255, 10",No,Not checked yet,Not checked yet,Not checked yet,No,112255,10,123456,25000,USD,9/1/2025,FOB,"New Test Item, one of a kind",KSJD8239KSDJ,SJDKSKSD2931992310,,2310939210329,1200,,100000,AR,666,204776,SEVAN,,,UDI PORT,,VZGO SUPPLY,,,20,HAGHPAT,,,,
